Date.Local,nyc.ozone.Mean,nyc.ozone.Max.Value,nyc.ozone.Max.Hour,nyc.ozone.AQI,nyc.nitrogen.Mean,nyc.nitrogen.Max.Value,nyc.nitrogen.Max.Hour,nyc.nitrogen.AQI,nyc.pm.Max.Value,nyc.pm.Max.Hour,nyc.pm.Mean,nyc.pm.AQI,nyc.temp.Mean,nyc.temp.Max.Value,nyc.temp.Max.Hour,nyc.rh.Mean,nyc.rh.Max.Value,nyc.rh.Max.Hour
5/8/07,0.014882,0.029,10,27,32.285714,54,9,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/9/07,0.013176,0.028,9,26,30.708333,43,7,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/10/07,0.009706,0.019,11,18,25.642857,32,11,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/11/07,0.008294,0.014,11,13,40.631579,45,12,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/12/07,0.022353,0.034,9,31,17.125,45,0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/13/07,0.036412,0.049,10,45,12.916667,34,20,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/14/07,0.034529,0.039,11,36,21.333333,44,6,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/15/07,0.057235,0.072,12,105,25.304348,38,6,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/16/07,0.032882,0.057,8,58,26.47619,44,19,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/17/07,0.031882,0.034,9,31,12.875,20,6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/18/07,0.012353,0.021,7,19,12.375,20,23,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/19/07,0.018765,0.028,8,26,20.375,37,20,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/20/07,0.041625,0.048,9,44,14.083333,22,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/21/07,0.024294,0.042,10,39,15.625,49,22,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/22/07,0.028353,0.042,11,39,24.083333,44,0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/23/07,0.035824,0.049,11,45,23.818182,38,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/24/07,0.054294,0.066,12,87,27.25,41,21,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/25/07,0.057765,0.076,10,119,33.291667,57,6,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/26/07,0.036706,0.054,7,50,18.541667,36,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/07,0.050882,0.064,11,80,21.791667,35,4,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/28/07,0.042438,0.055,8,51,17.375,36,21,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/29/07,0.02375,0.043,11,40,22.363636,60,23,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/30/07,0.035235,0.059,12,64,37.956522,74,21,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/31/07,0.048824,0.065,11,84,30.625,60,0,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/1/07,0.044706,0.061,10,71,32.791667,60,7,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/2/07,0.036235,0.064,9,80,28.958333,44,21,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/3/07,0.028118,0.034,21,31,13.416667,30,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/4/07,0.005588,0.012,7,11,18.818182,39,21,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/5/07,0.035059,0.049,10,45,27.208333,45,7,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/6/07,0.018412,0.03,10,28,13.75,32,21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/7/07,0.026353,0.039,11,36,26.708333,37,23,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/8/07,0.030471,0.042,10,39,32.5,56,7,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/9/07,0.036471,0.039,22,36,12.708333,26,6,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
