date,particulate matter,pm2.5,pm5,particulate matter pollution,fine particulates,isPartial,particulate matter,air pollution,fine particles,fine inhalable particles,particle pollution,isPartial,particulate matter,wildfires,power plants,industrial pollution,organic carbon,isPartial,particulate matter,traffic,traffic emission,tailpipe,sulfate,isPartial,particulate matter,black carbon,elemental carbon,soot,smog,isPartial,particulate matter,haze,code orange,code red,air pollution alert,isPartial,particulate matter,grey,blue,pink,asthma,isPartial,particulate matter,respiratory illness,respiratory infection,lung disease,bronchitis,isPartial,particulate matter,chronic obstructive pulmonary disease,COPD,lung cancer,cardiovascular disease,isPartial,particulate matter,premature death,Rapid heart rate,rapid pulse,rapid breathing,isPartial,particulate matter,asthma attack,coughing,arrhythmia,wheezing,isPartial,particulate matter,chest tightness,shortness of breath,throat irritation,inhaler use,isPartial,particulate matter,childhood asthma,pediatric asthma,isPartial
2015-09-13,0,0,0,0,0,False,0,56,0,0,0,False,0,3,3,0,2,False,0,44,0,0,4,False,0,14,0,21,38,False,0,76,5,49,0,False,0,12,75,23,2,False,0,2,15,5,38,False,0,4,47,100,10,False,0,0,34,0,0,False,0,4,52,8,13,False,0,25,39,0,0,False,0,0,0,False
2015-09-20,24,24,0,0,0,False,6,48,0,0,0,False,1,2,2,0,2,False,0,60,0,0,4,False,7,20,0,10,51,False,5,68,11,39,0,False,0,13,73,23,2,False,2,2,13,4,39,False,4,4,60,46,14,False,34,34,33,0,66,False,2,4,44,6,7,False,7,18,42,0,7,False,29,0,0,False
2015-09-27,24,0,0,0,0,False,0,19,0,0,0,False,1,2,2,0,2,False,0,45,0,0,5,False,7,17,0,13,37,False,5,92,5,44,0,False,0,12,74,26,2,False,2,2,12,7,53,False,0,0,63,83,12,False,0,0,0,0,0,False,2,6,38,7,8,False,7,36,43,0,7,False,30,0,0,False
2015-10-04,0,0,0,0,0,False,7,58,0,0,0,False,1,2,1,0,2,False,0,51,0,0,5,False,0,14,0,11,22,False,5,70,17,34,0,False,0,14,74,25,2,False,0,0,9,6,45,False,0,4,71,62,11,False,36,36,71,0,0,False,2,3,40,3,10,False,7,19,48,0,11,False,0,0,0,False
2015-10-11,0,0,0,0,0,False,0,54,0,0,0,False,0,1,2,0,1,False,0,52,0,0,4,False,0,14,0,28,28,False,0,85,10,43,0,False,0,13,85,26,2,False,0,2,15,7,60,False,0,4,71,79,12,False,0,0,35,0,69,False,0,4,44,4,11,False,0,11,48,0,15,False,0,0,0,False
2015-10-18,0,25,0,0,0,False,7,59,0,0,0,False,1,2,2,0,1,False,0,42,0,0,5,False,7,17,0,7,24,False,0,71,12,58,0,False,0,12,82,23,2,False,2,0,8,9,48,False,4,0,73,73,4,False,34,34,68,0,34,False,2,6,43,4,7,False,0,7,50,0,0,False,29,0,0,False
2015-10-25,0,24,0,0,0,False,0,45,0,0,0,False,0,1,3,0,1,False,0,43,0,0,5,False,0,23,0,17,43,False,0,94,11,27,0,False,0,12,75,23,2,False,0,0,10,8,57,False,0,0,62,82,4,False,0,33,33,0,33,False,0,4,51,6,9,False,0,10,62,0,7,False,0,0,0,False
2015-11-01,0,0,0,0,0,False,6,72,0,0,0,False,1,1,2,0,1,False,0,45,0,0,5,False,0,16,0,7,36,False,4,48,7,47,0,False,0,11,76,23,2,False,0,0,10,7,43,False,0,4,77,91,10,False,32,0,0,0,32,False,2,4,55,4,13,False,7,20,75,0,7,False,0,0,0,False
2015-11-08,0,24,0,0,0,False,0,72,0,0,0,False,0,1,3,0,1,False,0,42,0,0,6,False,0,10,0,20,27,False,0,71,11,34,0,False,0,13,73,23,2,False,0,0,15,4,53,False,0,4,67,87,12,False,0,0,34,0,0,False,0,7,55,8,9,False,0,11,39,0,14,False,0,0,0,False
2015-11-15,24,0,0,0,0,False,7,49,0,0,0,False,1,1,3,0,1,False,0,46,0,0,5,False,7,20,0,10,21,False,5,73,9,64,0,False,0,13,71,23,2,False,2,0,13,6,61,False,4,4,68,68,8,False,34,34,34,0,0,False,2,4,50,7,10,False,7,11,60,0,7,False,29,0,0,False
2015-11-22,0,0,0,0,0,False,0,29,0,0,0,False,0,1,1,0,0,False,0,46,0,0,4,False,0,19,0,15,23,False,0,59,10,36,0,False,0,17,73,29,1,False,0,2,8,6,69,False,0,0,60,40,9,False,0,0,75,0,0,False,0,5,57,3,7,False,0,28,47,0,8,False,0,0,0,False
2015-11-29,46,23,0,0,0,False,6,82,0,0,0,False,1,1,3,0,2,False,0,48,0,0,4,False,10,10,0,13,30,False,9,53,11,42,0,False,0,15,69,27,2,False,3,0,12,8,68,False,4,4,72,76,14,False,33,98,49,0,33,False,3,2,55,10,11,False,14,14,31,0,14,False,42,0,0,False
2015-12-06,0,0,0,0,0,False,6,68,0,0,0,False,1,1,3,0,1,False,0,39,0,0,4,False,0,41,0,20,71,False,5,65,16,34,0,False,0,13,74,26,2,False,0,2,10,9,66,False,0,0,70,68,12,False,33,0,100,0,67,False,2,4,51,4,9,False,7,7,42,0,0,False,0,0,0,False
2015-12-13,0,0,0,0,0,False,0,57,0,0,0,False,0,1,3,0,1,False,0,42,0,0,3,False,0,17,0,30,83,False,0,80,16,83,0,False,0,15,74,27,2,False,0,2,11,7,57,False,0,4,39,77,8,False,0,0,33,0,33,False,0,5,63,10,11,False,0,28,38,0,14,False,0,0,0,False
2015-12-20,0,24,0,0,0,False,0,13,0,0,0,False,0,1,2,0,0,False,0,48,0,0,3,False,0,17,0,14,51,False,0,75,14,44,0,False,0,15,78,29,1,False,0,0,9,3,73,False,0,0,49,77,0,False,0,0,34,0,0,False,0,2,54,8,12,False,0,21,46,0,14,False,0,0,0,False
2015-12-27,25,25,0,0,0,False,0,7,0,0,0,False,1,1,2,0,0,False,0,41,0,0,2,False,7,18,0,10,24,False,5,77,12,40,0,False,0,18,79,27,2,False,2,0,8,7,58,False,0,0,58,83,0,False,0,0,35,0,0,False,2,3,58,7,12,False,7,11,55,0,7,False,30,0,0,False
2016-01-03,0,22,0,0,0,False,0,27,0,0,0,False,0,0,2,0,1,False,0,40,0,0,4,False,0,19,0,12,34,False,0,54,10,52,0,False,0,13,72,25,2,False,0,3,10,5,58,False,0,0,50,59,4,False,0,0,31,0,0,False,0,3,59,5,13,False,0,13,39,0,0,False,0,0,0,False
2016-01-10,0,22,0,0,0,False,0,81,0,0,0,False,0,1,2,0,1,False,0,38,0,0,3,False,0,12,0,15,40,False,0,49,14,49,0,False,0,12,70,22,2,False,0,2,14,7,59,False,0,0,38,72,7,False,0,0,0,0,30,False,0,3,55,7,10,False,0,13,57,0,19,False,0,0,0,False
2016-01-17,22,0,0,0,0,False,6,67,0,0,0,False,1,1,3,0,1,False,0,57,0,0,4,False,6,12,0,9,25,False,4,64,8,33,0,False,0,13,74,24,1,False,2,0,11,7,47,False,0,0,56,65,11,False,31,0,0,0,30,False,2,7,52,4,8,False,6,38,48,0,0,False,26,0,0,False
2016-01-24,0,22,0,0,0,False,6,93,0,0,0,False,1,0,3,0,1,False,0,46,0,0,4,False,0,6,0,15,21,False,4,65,18,33,0,False,0,13,74,24,2,False,0,2,19,9,49,False,0,0,75,89,9,False,30,30,30,0,0,False,2,4,61,6,8,False,6,28,41,0,6,False,0,0,0,False
2016-01-31,0,21,0,0,0,False,6,65,0,0,0,False,1,0,2,0,2,False,0,44,0,0,4,False,6,21,0,15,36,False,0,73,14,42,0,False,0,13,73,25,1,False,2,0,10,8,42,False,4,4,60,44,5,False,30,30,30,0,29,False,2,3,52,5,8,False,0,9,28,0,24,False,26,0,0,False
